S.No.,Cocoon Weight (gm),Cocoon length(cm),mean width(cm),Cross sectional Area (cm2),Cocoon Volume (cm3),Shell Weight (gm),Category
142,11.63,5.11,3.41,26.5,31.7,1.58,Daba RC I
143,10.68,5.02,3.09,23.01,32.6,1.88,Daba RC I
144,10.62,5.1,3,22.32,28.8,1.26,Daba RC II
145,10.83,5.11,3.03,22.64,29.1,1.1,Daba RC III
146,12.14,5.38,3.18,24.99,32.7,1.45,Daba RC II
147,10.43,5.2,2.93,21.93,30.4,1.73,Daba RC I
148,9.97,4.71,3.07,21.86,26.9,1.65,Daba RC I
149,12.07,5.3,3.36,26.67,35.8,1.62,Daba RC I
150,6.97,4.71,2.85,19.75,23.5,0.98,Daba RC III
151,11.63,5.43,3.17,25.05,34.1,1.4,Daba RC II
152,9.07,4.9,3.01,21.81,27.5,1.2,Daba RC III
153,11.65,5.5,3.19,25.48,32.1,1.75,Daba RC I
154,10.85,5.21,2.98,22.5,29,1.76,Daba RC I
155,12.12,5.61,3.14,25.36,35.6,2,Daba RC I
156,12.59,5.24,3.16,24.35,30.2,1.49,Daba RC II
157,7.54,5,3.03,22.36,26.1,1.47,Daba RC II
158,12.07,5.38,3.11,24.27,30.1,1.79,Daba RC I
159,9.03,4.8,2.97,21.13,24,1.54,Daba RC II
160,12.45,5.29,3.28,25.8,31.9,1.6,Daba RC I
161,11.71,5.15,3.21,24.57,31.4,1.48,Daba RC II
162,9.69,4.75,3.09,22.17,27,1.66,Daba RC I
163,9.35,4.84,3.05,22.06,27.7,1.36,Daba RC II
164,12.84,5.44,3.21,25.5,36.3,1.46,Daba RC II
165,8.84,5.19,3.05,23.13,31.1,1.32,Daba RC II
166,11.32,4.99,3.23,24.26,32.1,1.58,Daba RC I
167,9.55,5.02,3.02,22.32,29,1.45,Daba RC II
168,10.95,5.39,3.03,23.54,28.6,1.65,Daba RC I
169,14.2,5.49,3.47,28.45,38.5,2.24,Daba RC Super
170,13.64,5.11,3.16,23.99,30.8,2.02,Daba RC I
171,8.54,4.82,2.98,21.29,23.6,1.2,Daba RC III
172,15.49,5.41,3.35,26.93,35.9,2,Daba RC I
173,11,5.18,2.97,22.31,28.4,1.22,Daba RC III
174,10,5,3.01,22.16,30.7,1.66,Daba RC I
175,13.71,5.6,3.21,26.01,35.1,1.68,Daba RC I
176,10.93,5.21,3.01,22.74,26.5,1.34,Daba RC II
177,12.38,5.31,3.27,25.76,35.3,1.73,Daba RC I
178,9.6,4.81,2.88,20.36,23.7,1.39,Daba RC II
179,8.31,4.85,3.08,22.34,27,1.46,Daba RC II
180,11.32,5.31,3.22,25.24,30.2,1.79,Daba RC I
181,14.11,5.7,3.39,28.29,41.6,1.96,Daba RC I
182,10.24,5.1,2.9,21.34,29.6,1.4,Daba RC II
183,8.13,4.41,2.76,18.15,21.7,1.13,Daba RC III
184,11.88,5.25,3.35,26.4,33.9,1.35,Daba RC II
185,10.21,5.21,3.17,24.35,30.5,1.35,Daba RC II
186,11.39,4.95,3.24,24.23,30,1.94,Daba RC I
187,8.62,4.51,2.85,19.23,22.8,1.15,Daba RC III
188,12.22,5.22,3.05,23.22,29.7,1.51,Daba RC II
189,14.05,5.45,3.24,25.85,35.2,1.94,Daba RC I
190,12.38,5.38,3.21,25.36,34.5,1.86,Daba RC I
191,13.9,5.8,3.18,26.33,42.1,2.13,Daba RC I
192,10.6,4.8,3.11,22.52,28.3,1.37,Daba RC II
193,11.86,5.31,3.17,24.67,32.9,1.55,Daba RC I
194,11.7,5.11,3.13,23.68,29.1,1.55,Daba RC I
195,13,5.3,3.15,24.48,33.6,1.9,Daba RC I
196,8.45,4.99,2.87,20.79,23.4,1.21,Daba RC III
197,11.61,5.3,2.98,22.77,28.1,1.72,Daba RC I
198,8.84,4.8,2.88,20.34,22.9,1.26,Daba RC II
199,8.16,4.9,2.87,20.48,24.8,1.77,Daba RC I
200,13.96,5.88,3.36,28.56,41,1.96,Daba RC I
201,12.25,5.35,3.1,24.08,31,1.66,Daba RC I
202,8.14,4.49,2.72,17.98,21.3,1.26,Daba RC II
203,14.02,5.45,3.18,25.22,32.9,1.52,Daba RC II
204,15.33,5.6,3.29,26.92,39,2.45,Daba RC Super
205,13.09,5.2,3.12,23.87,31.7,1.88,Daba RC I
206,9.99,4.8,3,21.42,26.2,1.81,Daba RC I
